project_name,owner,repo_name,url,commit_hash,star_count,detection_type
richtabor/MerlinWP,richtabor,MerlinWP,https://github.com/richtabor/MerlinWP,6c43a1b6ea20be3fdc1f1bc3ae24e94d7b356228,701,primary_functions
phpMv/ubiquity,phpMv,ubiquity,https://github.com/phpMv/ubiquity,12719809e0ee0d1501444ed0282d703a520989ab,700,fallback_includes
civicrm/civicrm-core,civicrm,civicrm-core,https://github.com/civicrm/civicrm-core,911615aaac8b404a3a234d832e709a1bea1f2382,697,primary_functions
WuKongOpenSource/WukongCRM-9.0-PHP,WuKongOpenSource,WukongCRM-9.0-PHP,https://github.com/WuKongOpenSource/WukongCRM-9.0-PHP,eeab5c782d394675172c9c777745136fa7ad4c3a,690,primary_functions
wp-erp/wp-erp,wp-erp,wp-erp,https://github.com/wp-erp/wp-erp,2f932964e99e48e735aecca3ad59d4a8ea06332b,685,fallback_includes
10up/distributor,10up,distributor,https://github.com/10up/distributor,0901e23509f7ec0eb8849159d445fe2213666314,684,fallback_includes
cckuailong/reapoc,cckuailong,reapoc,https://github.com/cckuailong/reapoc,699762e4c31d0183733f64313d8fc3be6470bd37,684,primary_functions
SimpleMachines/SMF,SimpleMachines,SMF,https://github.com/SimpleMachines/SMF,2ed6754747d6e2fdaa53d5ccd7c991bca558f776,681,primary_functions
wonderkun/CTF_web,wonderkun,CTF_web,https://github.com/wonderkun/CTF_web,468657ac050a36c73443f3d48a05dab246fc4f05,678,primary_functions
portabilis/i-educar,portabilis,i-educar,https://github.com/portabilis/i-educar,faefa82154913ff9b1d01d16c7384dd1de548382,676,fallback_includes
